jenis order,bobot,SERVICE_NUMBER,WONUM,TICKET_ID,teknisi,JENIS_ORDER,CREATED/REPORTED_DATE,CLOSED_DATE,WORKZONE
Aktivasi Cross Connect TDE,4,unrequired,required,required,required,required,required,required,unrequired
Aktivasi/Migrasi/Dismantel DCS,4,unrequired,required,required,required,required,required,required,unrequired
Aktivasi/Migrasi/Dismantel Digiserve,4,unrequired,required,required,required,required,required,required,unrequired
Aktivasi/Migrasi/Dismantel Hypernet,4,unrequired,required,required,required,required,required,required,unrequired
Corrective Akses Tower CENTRATAMA,4,unavailable,unavailable,required,required,required,required,required,required
Corrective Akses Tower Lintasarta,4,unavailable,unavailable,required,required,required,required,required,required
Corrective Akses Tower UMT,4,unavailable,unavailable,required,required,required,required,required,required
Corrective Cross Connect TDE,4,unrequired,required,required,required,required,required,required,unrequired
Corrective CSA,4,unavailable,unavailable,required,required,required,required,required,required
Corrective DCS,4,unrequired,required,required,required,required,required,required,unrequired
Corrective Digiserve,4,unrequired,required,required,required,required,required,required,unrequired
Corrective Hypernet,4,unrequired,required,required,required,required,required,required,unrequired
Corrective MMP,4,unrequired,unavailable,required,required,required,required,required,required
Corrective MyRep,4,unrequired,required,required,required,required,required,required,required
Corrective NuTech,2,unrequired,required,required,required,required,required,required,required
Corrective SNT,4,unrequired,required,required,required,required,required,required,required
Corrective SPBU,4,unrequired,unrequired,required,required,required,required,required,required
Corrective TBG,4,unrequired,required,required,required,required,required,required,required
Corrective Tower POLARIS,4,unavailable,unavailable,required,required,required,required,required,required
Corrective Tower TIS,4,unavailable,unavailable,required,required,required,required,required,required
Inventory SPBU,4,unrequired,required,required,required,required,required,required,required
Preventif MMP,2,unrequired,unrequired,required,required,required,required,required,required
Preventive Akses Tower CENTRATAMA,2,unrequired,required,required,required,required,required,required,required
Preventive Akses Tower Lintasarta,2,unrequired,required,required,required,required,required,required,required
Preventive Akses Tower UMT,2,unrequired,required,required,required,required,required,required,required
Preventive Asianet,2.67,unrequired,required,required,required,required,required,required,required
Preventive CSA,2,unrequired,required,required,required,required,required,required,required
Preventive NuTech,2,unrequired,required,required,required,required,required,required,required
Preventive SPBU,4,unrequired,required,required,required,required,required,required,required
Preventive TBG,2,unrequired,required,required,required,required,required,required,required
Preventive Tower POLARIS,2,unrequired,required,required,required,required,required,required,required
Preventive Tower TIS,2,unrequired,required,required,required,required,required,required,required
Relokasi DCS,1,unrequired,required,required,required,required,required,required,required
Relokasi Digiserve,1,unrequired,required,required,required,required,required,required,required
Relokasi Hypernet,1,unrequired,required,required,required,required,required,required,required
Corrective Mitratel ,4,unrequired,unrequired,required,required,required,required,required,required
Preventive FIberisasi,2,unrequired,required,required,required,required,required,required,required
SPPG,1,unrequired,required,required,required,required,required,required,required
Corrective IBU - FTTR,5,required,required,required,required,required,required,required,required
Corrective Surge,2,required,required,required,required,required,required,required,required
Preventive MS SNT,2,required,required,required,required,required,required,required,required
MS IT & FO_SJU,5,required,required,required,required,required,required,required,required
MS IT & FO_SJU,5,required,required,required,required,required,required,required,required
MS PATROLI_Telin,4,required,required,required,required,required,required,required,required
MS PATROLI_Telin,4,required,required,required,required,required,required,required,required
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
